sample_id,split,teacher_ADE_to_GT,teacher_FDE_to_GT,student_ADE_to_GT,student_FDE_to_GT,student_vs_teacher_ADE,student_vs_teacher_FDE,teacher_minus_student_ADE,teacher_minus_student_FDE,teacher_token_match_3000,teacher_invalid_i3000plus_rate,teacher_early_ADE,teacher_early_FDE,teacher_late_ADE,teacher_path_length_ratio,gt_final_speed_mps,teacher_final_speed_mps,gt_final_y_m,teacher_final_y_m,teacher_final_lateral_error_m,teacher_direction_cosine,teacher_failure_tags,teacher_abs_bin,group,kd_weight,relative_kd_group,relative_kd_weight,prefix_teacher_good,teacher_quality_bucket,teacher_unique_ids,teacher_max_same_token_run,student_summary_available
38ccd4dd-c535-4dca-ad96-cd970508205b__t0_6793579__evt_00,val,1.0558500289916992,1.8908472061157227,1.6274099349975586,6.595774173736572,1.1151455640792847,4.713118553161621,-0.5715599060058594,-4.70492696762085,0.0234375,0.0,0.539082407951355,1.4084625244140625,1.2907443046569824,0.9122664345802608,5.288059234619141,3.911512851715088,0.06609330326318741,0.15516220033168793,0.08906889706850052,0.9999886155128479,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,66,3,True
3a874275-99f6-4342-9851-12243ee49cf6__t0_10316362__evt_00,val,0.39768552780151367,2.1859402656555176,2.3753459453582764,8.840863227844238,2.7044785022735596,10.978439331054688,-1.9776604175567627,-6.654922962188721,0.0234375,0.0,0.049819622188806534,0.09799830615520477,0.5558063983917236,0.953621110716264,4.368261337280273,3.0804126262664795,1.3933805227279663,1.2222774028778076,0.1711031198501587,0.9999971985816956,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,78,1,True
3a874275-99f6-4342-9851-12243ee49cf6__t0_10716362__evt_01,val,0.8061182498931885,3.692216157913208,2.4370357990264893,9.617476463317871,3.2026872634887695,13.304118156433105,-1.6309175491333008,-5.925260305404663,0.0234375,0.0,0.032943762838840485,0.07650629431009293,1.157561182975769,0.9182520203086475,3.8397812843322754,2.1380746364593506,1.0461714267730713,1.0605251789093018,0.014353752136230469,0.9999971985816956,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,75,1,True
3ac45a54-095d-4623-a946-ced99959e98d__t0_8526415__evt_00,val,0.4777945876121521,1.2340476512908936,2.2183663845062256,7.5224289894104,2.315030097961426,8.245216369628906,-1.7405717968940735,-6.288381338119507,0.0078125,0.0,0.08641573786735535,0.21543942391872406,0.6556940674781799,0.9816118972048612,7.933727264404297,7.929217338562012,-2.0873970985412598,-1.6819541454315186,0.4054429531097412,0.9999827146530151,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,medium,65,1,True
3c803ef9-c916-4846-a97c-e1ec61cf28fb__t0_7670788__evt_00,val,1.8014451265335083,0.8728424310684204,5.084778785705566,10.841315269470215,3.283827066421509,9.97015380859375,-3.283333659172058,-9.968472838401794,0.0,0.0,0.2959955334663391,1.1611971855163574,2.4857404232025146,0.8662713589284234,0.0,0.6345468759536743,-0.11326517164707184,-0.053118523210287094,0.060146648436784744,0.9999682307243347,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,80,1,True
3cf55e91-632e-4fb7-85ac-c9fd410782d4__t0_9992819__evt_00,val,0.2183559238910675,0.8485301733016968,0.6205973625183105,1.065555453300476,0.6919257044792175,1.8840057849884033,-0.40224143862724304,-0.2170252799987793,0.0703125,0.0,0.04316507652401924,0.10788396000862122,0.2979881465435028,1.0126520484233372,10.002552032470703,10.68808650970459,0.5243088603019714,0.6417574882507324,0.11744862794876099,0.9999988079071045,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,medium,30,5,True
426c2aa5-9539-43fc-8502-8a8b876b2058__t0_2678166__evt_00,val,0.8908586502075195,2.61051344871521,7.182033538818359,20.0845890045166,6.7022318840026855,18.71616554260254,-6.29117488861084,-17.47407555580139,0.015625,0.0,0.13682523369789124,0.3480168879032135,1.2336010932922363,0.9364961201821349,8.64908504486084,7.814121246337891,30.194665908813477,27.603343963623047,2.5913219451904297,0.999948263168335,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,100,1,True
428709c9-4a9c-4e90-bdbd-e56d430bd195__t0_14100000__evt_00,val,3.6314616203308105,8.292085647583008,5.713454246520996,14.869741439819336,2.1787595748901367,6.864126205444336,-2.0819926261901855,-6.577655792236328,0.03125,0.0,0.37338918447494507,1.2150651216506958,5.112403392791748,0.8733318957183513,10.688015937805176,9.477743148803711,-4.094234943389893,-2.416398525238037,1.6778364181518555,0.9997919797897339,E_long_horizon_divergence,D_middle,D_middle,0.25,group2_mixed_gt_primary,0.4,True,noisy,65,1,True
429e377c-89d6-4e71-8c35-03d1603d7e38__t0_4188415__evt_00,val,1.702033519744873,1.2591216564178467,7.067131519317627,27.678281784057617,8.622809410095215,28.75581932067871,-5.365097999572754,-26.41916012763977,0.0,0.0,0.4333297610282898,1.2021775245666504,2.278717041015625,1.017640607709568,11.471521377563477,10.477529525756836,-0.7808301448822021,-0.14753098785877228,0.6332991719245911,0.9999409914016724,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,85,1,True
429e377c-89d6-4e71-8c35-03d1603d7e38__t0_5988415__evt_01,val,2.4049296379089355,5.9148125648498535,8.516036987304688,24.700029373168945,6.22196102142334,18.997201919555664,-6.111107349395752,-18.785216808319092,0.015625,0.0,0.18312320113182068,0.6538722515106201,3.414841413497925,0.9090742145470899,12.059898376464844,11.003119468688965,-3.104795217514038,-3.980370044708252,0.8755748271942139,0.9998031854629517,E_long_horizon_divergence,B_ok,B_ok,0.5,group2_mixed_gt_primary,0.4,True,noisy,87,1,True
44f7c2ff-6530-4a28-b62f-1adb51cc30ee__t0_4177771__evt_00,val,1.9426615238189697,7.9704790115356445,1.2962749004364014,5.926649570465088,0.8288143873214722,2.2210381031036377,0.6463866233825684,2.0438294410705566,0.0078125,0.0,0.04195445403456688,0.1198417916893959,2.80661940574646,1.1762404040763867,1.8252098560333252,2.7179901599884033,4.205285549163818,-1.4237020015716553,5.6289873123168945,0.9294929504394531,B_curvature_or_turn_direction_failure;E_long_horizon_divergence,B_ok,B_ok,0.5,group3_teacher_downweight_or_exclude,0.0,True,noisy,59,2,True
4684e874-7bee-41dc-beff-d38304d939ac__t0_15732957__evt_00,val,0.22525843977928162,0.24022822082042694,9.086864471435547,34.69951248168945,9.099363327026367,34.9063720703125,-8.861606031656265,-34.459284260869026,0.0078125,0.0,0.15934264659881592,0.23584651947021484,0.2552202045917511,1.0023321938266307,9.65606689453125,9.61982250213623,22.296913146972656,22.291603088378906,0.00531005859375,0.9999975562095642,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,high,77,1,True
476fed83-ed85-4b2c-b6c3-cf780a2d0123__t0_16992755__evt_00,val,0.37905964255332947,1.4377663135528564,0.7413498759269714,1.1003434658050537,0.7552603483200073,1.978723406791687,-0.36229023337364197,0.33742284774780273,0.0234375,0.0,0.04856273904442787,0.11416804790496826,0.5292856097221375,0.9805212011417636,7.636938095092773,6.9185791015625,-4.878256797790527,-5.833996772766113,0.9557399749755859,0.9997087717056274,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,medium,53,2,True
49c5447e-46fe-4f2c-ab31-10ca180cef31__t0_2074457__evt_00,val,0.16459882259368896,0.32036349177360535,0.6479241251945496,1.897131085395813,0.5359007120132446,1.6610479354858398,-0.4833253026008606,-1.5767675936222076,0.0546875,0.0,0.048694223165512085,0.0953882560133934,0.2172827273607254,0.9932835749777631,7.520991325378418,7.4907355308532715,-0.16158244013786316,-0.1321006417274475,0.02948179841041565,0.9999998807907104,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,high,20,5,True
4b352fd4-3a41-4455-bfe6-66a768b9d92e__t0_15373177__evt_00,val,0.7881149053573608,2.8177692890167236,4.453426837921143,14.891509056091309,4.937283992767334,16.127836227416992,-3.6653119325637817,-12.073739767074585,0.015625,0.0,0.021041369065642357,0.051833588629961014,1.136784553527832,0.9216090086916036,5.549562454223633,4.507889747619629,-8.616253852844238,-6.832858085632324,1.783395767211914,0.9992930889129639,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,108,1,True
4bd3bfd8-5a76-4de5-8ef2-560082256b3f__t0_10418273__evt_01,val,0.4038161635398865,1.9925390481948853,2.335529088973999,7.70113468170166,2.627962112426758,9.583353996276855,-1.9317129254341125,-5.708595633506775,0.0078125,0.0,0.0503564290702343,0.12933626770973206,0.564479649066925,1.066324238895886,5.239880561828613,6.8340020179748535,2.800177574157715,2.8883495330810547,0.08817195892333984,0.9999955892562866,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,88,1,True
4bd3bfd8-5a76-4de5-8ef2-560082256b3f__t0_9518273__evt_00,val,0.7614116668701172,0.6382086873054504,1.7172632217407227,3.933417558670044,1.140523076057434,3.479076862335205,-0.9558515548706055,-3.2952088713645935,0.0,0.0,0.20333707332611084,0.569661021232605,1.0150818824768066,1.019846783556621,5.087859153747559,4.647095203399658,2.0647406578063965,1.879678726196289,0.18506193161010742,0.9999725818634033,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,62,1,True
4d8a54c5-ab84-427b-9625-89c5cc6fbe89__t0_13991513__evt_01,val,0.599755048751831,1.610739827156067,3.4232282638549805,9.72973918914795,3.7987561225891113,10.874541282653809,-2.8234732151031494,-8.118999361991882,0.3203125,0.0,0.07666204869747162,0.1975969821214676,0.8375246524810791,0.9881054912213675,18.477264404296875,18.115678787231445,-0.7152166962623596,-1.3858625888824463,0.6706458926200867,0.9999841451644897,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,35,1,True
4d8a54c5-ab84-427b-9625-89c5cc6fbe89__t0_6291513__evt_00,val,0.7831311225891113,2.3402490615844727,3.4136176109313965,10.028877258300781,3.805631160736084,11.022418022155762,-2.630486488342285,-7.688628196716309,0.0859375,0.0,0.14918796718120575,0.33970609307289124,1.0712870359420776,0.9817665580544044,20.073631286621094,18.865690231323242,-0.618030309677124,-0.2758239507675171,0.34220635890960693,0.9999963641166687,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,30,1,True
4e40e1f9-2877-446c-a53d-eb7fcbfc05ad__t0_11376928__evt_01,val,1.6450495719909668,4.194976806640625,2.504586935043335,7.273085117340088,0.941565215587616,3.5935251712799072,-0.8595373630523682,-3.078108310699463,0.0078125,0.0,0.19077210128307343,0.5966470837593079,2.3060848712921143,1.1183804518282385,4.613253593444824,5.029908180236816,-3.281287908554077,-3.150933265686035,0.130354642868042,0.9999099969863892,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,noisy,66,4,True
4e40e1f9-2877-446c-a53d-eb7fcbfc05ad__t0_9876928__evt_00,val,1.1598665714263916,4.171331405639648,11.649698257446289,33.45353698730469,12.270315170288086,35.437095642089844,-10.489831686019897,-29.28220558166504,0.0234375,0.0,0.04787594825029373,0.14046546816825867,1.6653170585632324,1.1083997777914794,4.92909049987793,6.3761372566223145,0.45228803157806396,0.8306463956832886,0.3783583641052246,0.9999696016311646,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,noisy,71,1,True
4e6f59c0-0ded-48cb-8aef-fad1959ffa23__t0_14109409__evt_00,val,1.0646605491638184,3.8602840900421143,10.113142013549805,25.523704528808594,9.685311317443848,28.87331771850586,-9.048481464385986,-21.66342043876648,0.0,0.0,0.30543166399002075,0.7679806351661682,1.4097645282745361,1.0460819963120616,14.225279808044434,18.182954788208008,6.871303558349609,6.021712779998779,0.8495907783508301,0.9998807311058044,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,107,1,True
4e6f59c0-0ded-48cb-8aef-fad1959ffa23__t0_15509409__evt_01,val,1.3560688495635986,2.9367806911468506,13.868825912475586,36.997947692871094,14.526447296142578,37.793880462646484,-12.512757062911987,-34.06116700172424,0.0078125,0.0,0.39037004113197327,1.0106956958770752,1.7950226068496704,0.9698312967617067,14.228378295898438,13.49223804473877,-1.0342302322387695,-2.3456835746765137,1.3114533424377441,0.9998626112937927,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,89,1,True
4efa3ed8-e7ac-4e28-ba45-c2787c8f3957__t0_6223100__evt_00,val,0.21548229455947876,1.1597929000854492,0.7508721351623535,3.5208017826080322,0.7391020059585571,2.522336721420288,-0.5353898406028748,-2.361008882522583,0.0078125,0.0,0.03229174762964249,0.09523552656173706,0.29875072836875916,0.9756133037471914,9.449493408203125,8.283256530761719,0.06338158249855042,-0.12641681730747223,0.18979839980602264,0.9999915957450867,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,medium,70,1,True
4efa3ed8-e7ac-4e28-ba45-c2787c8f3957__t0_9423100__evt_01,val,2.755793809890747,8.782748222351074,4.501457691192627,13.912363052368164,1.7473750114440918,5.12961483001709,-1.7456638813018799,-5.12961483001709,0.0078125,0.0,0.06825987249612808,0.3116493225097656,3.977400302886963,0.8497243878702575,10.97148323059082,8.474175453186035,0.8060513734817505,0.9769504070281982,0.17089903354644775,0.9999828338623047,E_long_horizon_divergence,B_ok,B_ok,0.5,group2_mixed_gt_primary,0.4,True,noisy,50,1,True
