sample_id,split,teacher_ADE_to_GT,teacher_FDE_to_GT,student_ADE_to_GT,student_FDE_to_GT,student_vs_teacher_ADE,student_vs_teacher_FDE,teacher_minus_student_ADE,teacher_minus_student_FDE,teacher_token_match_3000,teacher_invalid_i3000plus_rate,teacher_early_ADE,teacher_early_FDE,teacher_late_ADE,teacher_path_length_ratio,gt_final_speed_mps,teacher_final_speed_mps,gt_final_y_m,teacher_final_y_m,teacher_final_lateral_error_m,teacher_direction_cosine,teacher_failure_tags,teacher_abs_bin,group,kd_weight,relative_kd_group,relative_kd_weight,prefix_teacher_good,teacher_quality_bucket,teacher_unique_ids,teacher_max_same_token_run,student_summary_available
069e47bd-506f-4f96-a16f-41b994370e9f__t0_9386884__evt_01,train,1.2019011974334717,2.4562530517578125,0.010555438697338104,0.016900451853871346,1.1994435787200928,2.4680378437042236,1.1913457587361336,2.439352599903941,0.015625,0.0,0.15690532326698303,0.563462495803833,1.6768994331359863,0.951833239864454,11.553994178771973,7.819726467132568,-1.9260560274124146,-1.3288339376449585,0.597222089767456,0.9999433755874634,ok_or_low_error,A_good,A_good,1.0,group3_teacher_downweight_or_exclude,0.0,True,low,59,1,True
06d6dfb4-5206-4687-9b07-968d4b9dda1b__t0_13473955__evt_00,train,0.33838868141174316,1.1133874654769897,1.2456413507461548,6.517683982849121,1.0500606298446655,5.420816421508789,-0.9072526693344116,-5.404296517372131,0.0625,0.0,0.06443814933300018,0.17002125084400177,0.4629116952419281,1.0162257578511336,7.141932010650635,7.792506694793701,0.7354367971420288,0.6057778596878052,0.12965893745422363,0.9999977350234985,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,medium,76,1,True
0733a492-08a9-4176-ae41-808e031daf89__t0_4059853__evt_00,train,0.06824718415737152,0.04536835476756096,0.09229448437690735,0.4891865849494934,0.14868038892745972,0.44480055570602417,-0.024047300219535828,-0.44381823018193245,0.0234375,0.0,0.03892306238412857,0.08296360820531845,0.08157633244991302,0.9951958228504721,3.1255366802215576,2.2766096591949463,-0.01031847856938839,0.0005226421635597944,0.010841120965778828,0.9999992251396179,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,high,58,1,True
087130e1-01d0-4263-9dbd-e589fe785e9e__t0_9874491__evt_00,train,0.4051726460456848,0.949714183807373,0.006839129142463207,0.010190595872700214,0.40513521432876587,0.9560823440551758,0.3983335169032216,0.9395235879346728,0.0,0.0,0.1041213721036911,0.375210702419281,0.5420141816139221,0.9527908810902024,5.03322172164917,4.867451190948486,0.05736091360449791,-0.039746955037117004,0.09710787236690521,0.9999877214431763,ok_or_low_error,A_good,A_good,1.0,group2_mixed_gt_primary,0.4,True,medium,64,1,True
08e580b5-a65c-43c9-8c9f-fa5e6494483c__t0_4338664__evt_00,train,0.20288626849651337,0.25599759817123413,0.005644334480166435,0.008228293620049953,0.203349769115448,0.26085659861564636,0.19724193401634693,0.24776930455118418,0.046875,0.0,0.14233112335205078,0.3534035384654999,0.2304113358259201,0.9984770700001017,0.0,0.08684517443180084,0.749264657497406,0.6648166179656982,0.08444803953170776,0.9999821782112122,ok_or_low_error,A_good,A_good,1.0,group2_mixed_gt_primary,0.4,True,high,96,1,True
08e580b5-a65c-43c9-8c9f-fa5e6494483c__t0_9538664__evt_01,train,0.019307155162096024,0.038860417902469635,0.0031596573535352945,0.008952038362622261,0.016147498041391373,0.029908379539847374,0.01614749780856073,0.029908379539847374,0.921875,0.0,0.0058547803200781345,0.01093345321714878,0.025421874597668648,40082.74897933006,0.0,0.012345537543296814,0.0,5.780430356594479e-09,5.780430356594479e-09,nan,F_repetition_or_local_band_oscillation,A_good,A_good,1.0,group2_mixed_gt_primary,0.4,True,high,10,1,True
0abe118e-aa79-41f6-a719-f2df8abaf1ea__t0_8757247__evt_00,train,0.40110287070274353,0.9083551168441772,0.012306955642998219,0.01691441982984543,0.4061432480812073,0.9158852100372314,0.3887959150597453,0.8914406970143318,0.0390625,0.0,0.022537272423505783,0.046058252453804016,0.5731781721115112,0.9496499802631203,0.0,0.0042152414098382,0.057526085525751114,-0.000885577464941889,0.05841166153550148,0.9999944567680359,ok_or_low_error,A_good,A_good,1.0,group2_mixed_gt_primary,0.4,True,medium,64,1,True
0af40d4b-4c73-4431-ab3b-79acbe30338e__t0_10840275__evt_00,train,0.3036697506904602,1.026297688484192,3.0371837615966797,12.401288032531738,2.8186886310577393,11.787832260131836,-2.7335140109062195,-11.374990344047546,0.015625,0.0,0.07987438887357712,0.1527412086725235,0.40539494156837463,0.9768982470382865,9.436380386352539,8.234251976013184,21.003162384033203,20.242191314697266,0.7609710693359375,0.9999718070030212,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,medium,98,1,True
0b7364d5-c93f-47fd-8b46-b59d961b5240__t0_8864109__evt_00,train,2.30806827545166,3.7557404041290283,7.395632743835449,17.011194229125977,5.103082656860352,13.306943893432617,-5.087564468383789,-13.255453824996948,0.0078125,0.0,0.33748823404312134,1.0712134838104248,3.2037863731384277,0.9308334141996096,11.72464370727539,12.53400993347168,0.4278007745742798,0.7625207304954529,0.3347199559211731,0.9999737739562988,E_long_horizon_divergence,B_ok,B_ok,0.5,group2_mixed_gt_primary,0.4,True,noisy,76,1,True
0b7fd1d7-d5d4-4570-bed9-624b631827c5__t0_4061549__evt_00,train,1.2785403728485107,2.578150987625122,2.207158088684082,11.853529930114746,1.5519590377807617,9.275461196899414,-0.9286177158355713,-9.275378942489624,0.03125,0.0,0.1507251113653183,0.45978912711143494,1.791183590888977,0.8213874200941688,2.60939359664917,2.4087419509887695,0.13179390132427216,0.12180715799331665,0.009986743330955505,0.9999994039535522,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,64,1,True
